name,address-street,address-zipcode,address-place,google_search_link,category,phone,adress,website,email,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
Bernhard-Junker-Haus,Neuhofstr. 11,63743.0,Aschaffenburg,https://www.google.de/search?q=Bernhard-Junker-Haus+Neuhofstr.+11+63743+Aschaffenburg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Arbeiterwohlfahrt Bernhard-Junker-Haus,Neuhofstr. 11,63743.0,Aschaffenburg,https://www.google.de/search?q=Arbeiterwohlfahrt+Bernhard-Junker-Haus+Neuhofstr.+11+63743+Aschaffenburg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Matthias-Claudius-Haus Wohn- und Pflegeheim des,Würzburger Str. 69,63743.0,Aschaffenburg,https://www.google.de/search?q=Matthias-Claudius-Haus+Wohn-+und+Pflegeheim+des+W%C3%BCrzburger+Str.+69+63743+Aschaffenburg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
SeniorenWohnen Goldbach,Weidenbörnerstr. 26,63773.0,Goldbach,https://www.google.de/search?q=SeniorenWohnen+Goldbach+Weidenb%C3%B6rnerstr.+26+63773+Goldbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Cura Sana Münzenberg gGmbH,Blumenstr. 15,35516.0,Münzenberg,https://www.google.de/search?q=Cura+Sana+M%C3%BCnzenberg+gGmbH+Blumenstr.+15+35516+M%C3%BCnzenberg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
CURATA Pflegeeinrichtungen GmbH,Ranstädter Str. 10,63667.0,Nidda,https://www.google.de/search?q=CURATA+Pflegeeinrichtungen+GmbH+Ranst%C3%A4dter+Str.+10+63667+Nidda,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 6131 99510,"Sachsendamm 2, 10829 Berlin",,,Immobilien,Immobilienagentur,"Tomasz Tomczyk, Matthias Gülich",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/CURATA-Pflegeeinrichtungen-GmbH-Berlin
Seniorenheim Rosengarten GmbH,Hauptstr. 37,35510.0,Butzbach,https://www.google.de/search?q=Seniorenheim+Rosengarten+GmbH+Hauptstr.+37+35510+Butzbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 6033 98100,"Friedrich-Ebert-Str. 13, 68526 Ladenburg",,,,No-information,Oskar Dietrich,HRB 432592 Amtsgericht Mannheim,,,https://www.companyhouse.de/Seniorenheim-Rosengarten-GmbH-Ladenburg
Seniorenpflegeeinrichtung Santa Isabella GmbH,Pfarrer-Seubert-Str. 16,63843.0,Niedernberg,https://www.google.de/search?q=Seniorenpflegeeinrichtung+Santa+Isabella+GmbH+Pfarrer-Seubert-Str.+16+63843+Niedernberg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Höfstr. 45, 72348 Rosenfeld",,,"Gesundheit, Wellness & Fitness",Betrieb von Seniorenpflegeeinrichtungen und Durchführung von pflegenahen Dienstleistungen.,"Thorsten Mohr, Claudius Schrenk",HRB 737637 Amtsgericht Stuttgart,,,https://www.companyhouse.de/Seniorenpflegeeinrichtung-Santa-Isabella-GmbH-Rosenfeld
Wohn- und Pflegezentren Waldfrieden GmbH,Villenstr. 13,63667.0,Nidda,https://www.google.de/search?q=Wohn-+und+Pflegezentren+Waldfrieden+GmbH+Villenstr.+13+63667+Nidda,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"An der Drachenwiese 42, 63679 Schotten",,,Soziale Einrichtungen,Betrieb eines Alten- und Pflegeheimes mit sämtlichen damit verbundenen Tätigkeiten.,Christina Lauster,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Wohn-und-Pflegezentren-Waldfrieden-GmbH-Schotten
Altenpflegeheim Marienhof Inh. Dorle Engel,Hofstädtener Str. 19,63825.0,Westerngrund,https://www.google.de/search?q=Altenpflegeheim+Marienhof+Inh.+Dorle+Engel+Hofst%C3%A4dtener+Str.+19+63825+Westerngrund,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Seniorenzentrum Nidda GmbH,Kurstr. 28,63667.0,Nidda,https://www.google.de/search?q=Seniorenzentrum+Nidda+GmbH+Kurstr.+28+63667+Nidda,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Kurstr. 28, 63667 Nidda",,,"Gesundheit, Wellness & Fitness","Bereitstellung sozialer Dienste, wie der Betrieb von Alten- und Pflegeheimen, Sozialstationen sowie einzelner Dienste (Behandlungspflege, körperliche Pflege, hauswirtschaftliche Versorgung, fahrbarer Mittagstisch, Beratung in sozialen Fragen, Hilfs-Bereitschaft",Lars Albert,HRB 10508 Amtsgericht Friedberg,,,https://www.companyhouse.de/Seniorenzentrum-Nidda-GmbH-Nidda
AWO Seniorenpflegeheim Oberscholzenhof,Heidelberger Str. 2,64395.0,Brensbach,https://www.google.de/search?q=AWO+Seniorenpflegeheim+Oberscholzenhof+Heidelberger+Str.+2+64395+Brensbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
BeneVit Haus Lindenhof,Häfner-Ohnhaus-Str. 3,63825.0,Schöllkrippen,https://www.google.de/search?q=BeneVit+Haus+Lindenhof+H%C3%A4fner-Ohnhaus-Str.+3+63825+Sch%C3%B6llkrippen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
NOVITA GmbH Seniorenzentrum Sulzbach,Hauptstr. 38,63834.0,Sulzbach,https://www.google.de/search?q=NOVITA+GmbH+Seniorenzentrum+Sulzbach+Hauptstr.+38+63834+Sulzbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Hauptstraße 38, 63834 Sulzbach am Main",,,Management & Unternehmensberatung,"Kompetenzzentren (insbesondere ein Kompetenzzentrum in Sulzbach a. Main) für die Betreuung älterer Menschen einzurichten, zu betreiben und fachlich und organisatorisch beratend tätig zu sein und dadurch einen Beitrag zu leisten, in der Gesellschaft ein wachsendes Bewusstsein für ein ganzheitliches Menschenbild zu pflegen, auch den nicht mehr leistungsfähigen Menschen in seiner vollen Würde in den Mittelpunkt stellt. Um dieses Ziel zu verwirklichen, ist Gegenstand der Gesellschaft der Erwerb, Betrieb und Beratung insbesondere von stationären Einrichtungen der Altenpflege und deren Weiterentwicklung zu Kompetenzzentren, alle Bereiche der Pflege und Betreuung älterer und hilfsbedürftiger Menschen umfassen können, ebenso wie die Beteiligung an Unternehmen, den Gesellschaftszwecken dienen.","Edwin Guth, Florian Pichlmayr, Johannes Pichlmayr",HRB 36240 Amtsgericht Nürnberg,,,https://www.companyhouse.de/NOVITA-Seniorenzentrum-Sulzbach-GmbH-Sulzbach-am-Main
Seniorenzentrum Mömlingen,Danziger Str. 8,63853.0,Mömlingen,https://www.google.de/search?q=Seniorenzentrum+M%C3%B6mlingen+Danziger+Str.+8+63853+M%C3%B6mlingen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
AWO pflegeplus gGmbH Heinz-Ulm Haus,St.-Ulrich-Ring 12,35428.0,Langgöns,https://www.google.de/search?q=AWO+pflegeplus+gGmbH+Heinz-Ulm+Haus+St.-Ulrich-Ring+12+35428+Langg%C3%B6ns,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
"Heim und Werkstätten ""Rauher Berg"" e.V.",Rauher Berg,63683.0,Ortenberg,https://www.google.de/search?q=Heim+und+Werkst%C3%A4tten+%22Rauher+Berg%22+e.V.+Rauher+Berg+63683+Ortenberg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Raitz Eva,Spessartstr. 8,64739.0,Höchst,https://www.google.de/search?q=Raitz+Eva+Spessartstr.+8+64739+H%C3%B6chst,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Haus Weltfrieden Kristof OHG,Vogelsbergstr. 9,63667.0,Nidda,https://www.google.de/search?q=Haus+Weltfrieden+Kristof+OHG+Vogelsbergstr.+9+63667+Nidda,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Haus Curanum Bessenbach,Ludwig-Straub-Str. 10,63856.0,Bessenbach,https://www.google.de/search?q=Haus+Curanum+Bessenbach+Ludwig-Straub-Str.+10+63856+Bessenbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Rohe'sche Stiftung,Miltenberger Str. 2,63839.0,Kleinwallstadt,https://www.google.de/search?q=Rohe%27sche+Stiftung+Miltenberger+Str.+2+63839+Kleinwallstadt,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Senioren Wohnpark Weser GmbH ID-50128,Steinstr. 9 a,35641.0,Schöffengrund,https://www.google.de/search?q=Senioren+Wohnpark+Weser+GmbH+ID-50128+Steinstr.+9+a+35641+Sch%C3%B6ffengrund,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Gemeinnützige Gesellschaft für ambulante und stationäre,Lindenstr. 30 a,63785.0,Obernburg,https://www.google.de/search?q=Gemeinn%C3%BCtzige+Gesellschaft+f%C3%BCr+ambulante+und+station%C3%A4re+Lindenstr.+30+a+63785+Obernburg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 6704 962100,"Am alten Mühlengraben 1, 55450 Langenlonsheim",gfambh.com,info@gfambh.com,Altenhilfe,"Gemeinnützige Gesellschaft für ambulante und stationäre Altenhilfe (GFA) mbH ist ein Träger von neun Einrichtungen der Altenhilfe in Bayern, Rheinland-Pfalz und Saarland. Das Unternehmen bietet eine Vielzahl von Leistungen, darunter stationäre Dauerpflege, Kurzzeitpflege, Tages- und Nachtpflege, Betreutes Wohnen und ambulante Pflege. Der Hauptzweck der GFA mbH ist die Erbringung von Pflegeleistungen für pflegebedürftige Menschen und Beratung von Pflegebedürftigen und Angehörigen.","Christoph Herr, Michael Hamm, Werner Lechner",HRB 20602 Amtsgericht Bad Kreuznach,2022.0,32522927.66,https://www.companyhouse.de/Gemeinnuetzige-Gesellschaft-fuer-ambulante-und-stationaere-Altenhilfe-GFA-mbH-Langenlonsheim
"AWO Sozialzentrum ""Maria-Juchacz-Haus""",Chatilloner Str. 81,63607.0,Wächtersbach,https://www.google.de/search?q=AWO+Sozialzentrum+%22Maria-Juchacz-Haus%22+Chatilloner+Str.+81+63607+W%C3%A4chtersbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
AWO Sozialzentrum Marie-Juchacz-Haus,Chatilloner Str. 81,63607.0,Wächtersbach,https://www.google.de/search?q=AWO+Sozialzentrum+Marie-Juchacz-Haus+Chatilloner+Str.+81+63607+W%C3%A4chtersbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Gesellschaft für diakonische Altenhilfe Gießen und,Elis-Schwarzhaupt-Str 5,35440.0,Linden,https://www.google.de/search?q=Gesellschaft+f%C3%BCr+diakonische+Altenhilfe+Gie%C3%9Fen+und+Elis-Schwarzhaupt-Str+5+35440+Linden,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 641 975500,"Johannesstr. 7, 35390 Gießen",johannesstift-seniorenzentrum.de,leitung@johannesstift-seniorenzentrum.de,Diakonische Altenhilfe,,"Markus Weber, Christa Hofmann Bremer",,,,https://www.companyhouse.de/Gesellschaft-fuer-diakonische-Altenhilfe-Giessen-und-Linden-gemeinnuetzige-GmbH-Giessen
LahnMed Inh. Silke Schmidt,Zum Wehrholz 9,35619.0,Braunfels,https://www.google.de/search?q=LahnMed+Inh.+Silke+Schmidt+Zum+Wehrholz+9+35619+Braunfels,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
MENetatis GmbH Seniorenzentrum Lich,Kirchhofgasse 37,35423.0,Lich,https://www.google.de/search?q=MENetatis+GmbH+Seniorenzentrum+Lich+Kirchhofgasse+37+35423+Lich,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Seniorenheim Sonnenberg Inh. Markus Hoerr,Am Sonnenberg 19,64385.0,Reichelsheim,https://www.google.de/search?q=Seniorenheim+Sonnenberg+Inh.+Markus+Hoerr+Am+Sonnenberg+19+64385+Reichelsheim,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Haus am Burgberg Wohn- und Förderstätte für,Lochmühle 5,63599.0,Biebergemünd,https://www.google.de/search?q=Haus+am+Burgberg+Wohn-+und+F%C3%B6rderst%C3%A4tte+f%C3%BCr+Lochm%C3%BChle+5+63599+Biebergem%C3%BCnd,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 6050 91180,"Ulmenstraße 23, 34117 Kassel",haus-am-burgberg.de,info@haus-am-burgberg.de,Betreuung und Unterstützung geistig und körperlich behinderter Menschen,"Erbringung von Dienstleistungen im sozialen Bereich, insbesondere die Pflege und Betreuung von alten, sozial bedürftigen und psychisch und/oder körperlich behinderten und kranken Menschen, sowie Erbringung von Dienstleistungen der Erziehung Bildung und Betreuung für Kinder und Jugendliche.",Jürgen Staude,Gemeinnützige Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Haus-am-Burgberg-Wohn-und-Foerderstaette-fuer-geistig-und-koerperlich-Behinderte-gemeinnuetzige-GmbH-ein-Haus-der-Cornelius-Helferich-Stiftung-Kassel
"Alloheim Senioren-Residenz ""Haus Neue Mitte""",Neue Mitte 5 b,35415.0,Pohlheim,https://www.google.de/search?q=Alloheim+Senioren-Residenz+%22Haus+Neue+Mitte%22+Neue+Mitte+5+b+35415+Pohlheim,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
AWO Haus Brunnengarten,Frankfurter Str. 22 a,64732.0,Bad König,https://www.google.de/search?q=AWO+Haus+Brunnengarten+Frankfurter+Str.+22+a+64732+Bad+K%C3%B6nig,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Seniorenhaus Bergpension Michael Helm,Höhenstr. 62,64732.0,Bad König,https://www.google.de/search?q=Seniorenhaus+Bergpension+Michael+Helm+H%C3%B6henstr.+62+64732+Bad+K%C3%B6nig,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
KAPHINGST GmbH,Forsthausstr. 5,35578.0,Wetzlar,https://www.google.de/search?q=KAPHINGST+GmbH+Forsthausstr.+5+35578+Wetzlar,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 6421 3030130,"Am Kaufmarkt 2, 35041 Marburg",kaphingst.de,info@kaphingst.de,Sanitätsfachhandel und orthopädische Dienstleistungen,Sanitätshaus,"Carsten Weimer, Dipl.-Kfm. Boris Pichler",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/KAPHINGST-GmbH-Marburg
TUTELA GmbH,Rangenweg 9/10,64385.0,Reichelsheim,https://www.google.de/search?q=TUTELA+GmbH+Rangenweg+9%2F10+64385+Reichelsheim,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Rangenweg 9-10, 64385 Reichelsheim",,,Soziale Einrichtungen,Betrieb eines Seniorenwohn- und Pflegeheimes.,Ralf Christian Krachtus,HRB 101963 Amtsgericht Darmstadt,,,https://www.companyhouse.de/TUTELA-GmbH-Reichelsheim
Seniorenwohnstift Erlenbach,Krankenhausstr. 39,63906.0,Erlenbach,https://www.google.de/search?q=Seniorenwohnstift+Erlenbach+Krankenhausstr.+39+63906+Erlenbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Krankenhausstraße 39, 63906 Erlenbach am Main",,,Restaurants,Aufnahme älterer Menschen in das Seniorenwohnstift Erlenbach und Gewährung der notwendigen Pflege.,Maike Schmidt Hartig,HRB 9798 Amtsgericht Aschaffenburg,,,https://www.companyhouse.de/Seniorenwohnstift-Erlenbach-gemeinnuetzige-GmbH-Erlenbach-am-Main
Seniorendomizil Heel GmbH & Co. KG,Sauerbornstr. 16 - 18,63619.0,Bad Orb,https://www.google.de/search?q=Seniorendomizil+Heel+GmbH+%26+Co.+KG+Sauerbornstr.+16+-+18+63619+Bad+Orb,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 6643 918430,"Waldstraße 27, 36355 Grebenhain",seniorenheime-heel.de,info@seniorenheime-heel.de,Betrieb von Seniorenheimen und Pflegeeinrichtungen,"Seniorendomizil Heel GmbH & Co. KG betreibt Senioren- und Pflegeheime in idyllischen ländlichen Gebieten, wie Hochwaldhausen und Bad Orb. Das Unternehmen zeichnet sich durch seine Pflege- und Altenpflegeleistungen aus, in einer grünen Umgebung angeboten werden. Der Zweck des Unternehmens ist es, älteren Menschen ein komfortables und unterstützendes Wohnumfeld zu bieten.","Burgunde Heel, Jürgen Heel",HRA 4505 Amtsgericht Gießen,,,https://www.companyhouse.de/Seniorendomizil-Heel-GmbH-Co-KG-Grebenhain
AWO-Seniorenresidenz Wörth,Münchner Str. 4,63939.0,Wörth,https://www.google.de/search?q=AWO-Seniorenresidenz+W%C3%B6rth+M%C3%BCnchner+Str.+4+63939+W%C3%B6rth,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Senioren-Residenz Wörth,Münchner Str. 4,63939.0,Wörth,https://www.google.de/search?q=Senioren-Residenz+W%C3%B6rth+M%C3%BCnchner+Str.+4+63939+W%C3%B6rth,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Alten- und Pflegeheim Haus Marianne,Ostertalstr. 5,64385.0,Reichelsheim,https://www.google.de/search?q=Alten-+und+Pflegeheim+Haus+Marianne+Ostertalstr.+5+64385+Reichelsheim,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
"Alloheim Senioren-Residenz ""Casino Wetzlar""",Kalsmuntstr. 74,35578.0,Wetzlar,https://www.google.de/search?q=Alloheim+Senioren-Residenz+%22Casino+Wetzlar%22+Kalsmuntstr.+74+35578+Wetzlar,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Ignatius-Lötschert-Haus GmbH Seniorenzentrum,Ignatius-Lötschert-Haus 1,56412.0,Horbach,https://www.google.de/search?q=Ignatius-L%C3%B6tschert-Haus+GmbH+Seniorenzentrum+Ignatius-L%C3%B6tschert-Haus+1+56412+Horbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
AZURIT Seniorenzentrum Lahnblick,Lahnstr. 70,56130.0,Bad Ems,https://www.google.de/search?q=AZURIT+Seniorenzentrum+Lahnblick+Lahnstr.+70+56130+Bad+Ems,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
St. Josefsheim,Kemmenauer Str. 12,56337.0,Arzbach,https://www.google.de/search?q=St.+Josefsheim+Kemmenauer+Str.+12+56337+Arzbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
AZURIT Seniorenzentrum Montabaur,Joseph-Kehrein-Str. 1,56410.0,Montabaur,https://www.google.de/search?q=AZURIT+Seniorenzentrum+Montabaur+Joseph-Kehrein-Str.+1+56410+Montabaur,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Alten- und Pflegeheim des Hospitalfonds Montabaur,Dillstr. 1,56410.0,Montabaur,https://www.google.de/search?q=Alten-+und+Pflegeheim+des+Hospitalfonds+Montabaur+Dillstr.+1+56410+Montabaur,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 2602 13040,"Dillstr. 1, 56410 Montabaur",hofo-montabaur.de,info@hofo-montabaur.de,Alten- und Pflegeheimbetrieb,"Alten- und Pflegeheim des Hospitalfonds  gemeinnützige GmbH bietet Wohn- und Pflegeangebote für ältere Menschen. Das Unternehmen zeichnet sich durch seine umfassenden Dienstleistungen aus, von der Pflege bis hin zu sozial-kulturellen Angeboten reichen. Der Zweck der Geschäftstätigkeit ist es, ältere Menschen eine sichere und angemessene Unterbringung und Pflege zu bieten, um ihnen ein selbstbestimmtes Leben zu ermöglichen.",,HRB 4984 Amtsgericht Montabaur,,,https://www.companyhouse.de/Alten-und-Pflegeheim-des-Hospitalfonds-Montabaur-gemeinnuetzige-GmbH-Montabaur
Orthopädieschuhtechnik Tretin GmbH,Im Flürchen 10,64372.0,Ober-Ramstadt,https://www.google.de/search?q=Orthop%C3%A4dieschuhtechnik+Tretin+GmbH+Im+Fl%C3%BCrchen+10+64372+Ober-Ramstadt,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Seniorenheim-Sonnenblick Inh. Thomas Hein,Schiessecke 10,63872.0,Heimbuchenthal,https://www.google.de/search?q=Seniorenheim-Sonnenblick+Inh.+Thomas+Hein+Schiessecke+10+63872+Heimbuchenthal,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Seniorenpflegeeinrichtung Santa Luzia,Brückenstr. 1,63911.0,Klingenberg,https://www.google.de/search?q=Seniorenpflegeeinrichtung+Santa+Luzia+Br%C3%BCckenstr.+1+63911+Klingenberg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Evangelische Altenhilfe Gesundbrunnen gGmbH,Rosengarten 2,63633.0,Birstein,https://www.google.de/search?q=Evangelische+Altenhilfe+Gesundbrunnen+gGmbH+Rosengarten+2+63633+Birstein,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5671 8820,"Brunnenstraße 23, 34369 Hofgeismar",gesundbrunnen.org,info@gesundbrunnen.org,Altenhilfe und Krankenhausbetrieb,"Evangelische Altenhilfe Gesundbrunnen gGmbH ist ein Träger von geriatrischen stationären und teilstationären Behandlungen. Das Unternehmen verfolgt das Ziel, schwerkranken alten Menschen zu einem selbstbestimmten Leben zu verhelfen, indem es 24-Stunden-Management in allen Bereichen anbietet. Durch interdisziplinäre Teams und individuell auf jeden Patienten abgestimmte Ziele erreicht das Unternehmen in den letzten Jahren etwa 80% seiner Patienten.",Ralf Pfannkuche,Gemeinnützige Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Evangelische-Altenhilfe-Gesundbrunnen-gGmbH-Hofgeismar
HEPHATA Hess. Diakoniezentrum e.V.,Wilhelmstr. 108 a + b,63911.0,Klingenberg,https://www.google.de/search?q=HEPHATA+Hess.+Diakoniezentrum+e.V.+Wilhelmstr.+108+a+%2B+b+63911+Klingenberg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Altenpflegeheim Haus Bonum GmbH,Unterer Hammer 2,64720.0,Michelstadt,https://www.google.de/search?q=Altenpflegeheim+Haus+Bonum+GmbH+Unterer+Hammer+2+64720+Michelstadt,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 6061 94280,"Unterer Hammer 2, 64720 Michelstadt",,,Soziale Einrichtungen,Seniorenheim,Klaus-Peter Arndt,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Altenpflegeheim-Haus-Bonum-GmbH-Michelstadt
Haus am Bachgarten Hans-Willi Lüdenbach,Bachgartenstr. 32,74385.0,Pleidelsheim,https://www.google.de/search?q=Haus+am+Bachgarten+Hans-Willi+L%C3%BCdenbach+Bachgartenstr.+32+74385+Pleidelsheim,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Alexander-Stift GmbH Haus Berglen,Linckestr. 29,73663.0,Berglen,https://www.google.de/search?q=Alexander-Stift+GmbH+Haus+Berglen+Linckestr.+29+73663+Berglen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Dienste für Menschen gGmbH Pflegestift Rielingshausen,Frankenstr. 1,71672.0,Marbach,https://www.google.de/search?q=Dienste+f%C3%BCr+Menschen+gGmbH+Pflegestift+Rielingshausen+Frankenstr.+1+71672+Marbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Pflegestift am Langenbach,Langenbachstr. 21,71522.0,Backnang,https://www.google.de/search?q=Pflegestift+am+Langenbach+Langenbachstr.+21+71522+Backnang,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Evang. Heimstiftung GmbH Robert-Breuning-Stift,Bülzenstr. 3,74354.0,Besigheim,https://www.google.de/search?q=Evang.+Heimstiftung+GmbH+Robert-Breuning-Stift+B%C3%BClzenstr.+3+74354+Besigheim,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Evangelische Heimstiftung GmbH - Außerklinische,Bülzenstr. 3,74354.0,Besigheim,https://www.google.de/search?q=Evangelische+Heimstiftung+GmbH+-+Au%C3%9Ferklinische+B%C3%BClzenstr.+3+74354+Besigheim,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Alexander Stift GmbH Haus Allmersbach im Tal,Hofäcker 12,71573.0,Allmersbach,https://www.google.de/search?q=Alexander+Stift+GmbH+Haus+Allmersbach+im+Tal+Hof%C3%A4cker+12+71573+Allmersbach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Alexander-Stift GmbH Haus Aspach,Teplitzer Weg 1,71546.0,Aspach,https://www.google.de/search?q=Alexander-Stift+GmbH+Haus+Aspach+Teplitzer+Weg+1+71546+Aspach,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Apartmenthaus Dietrich Bonhoeffer,Bonhoefferstr. 3,71522.0,Backnang,https://www.google.de/search?q=Apartmenthaus+Dietrich+Bonhoeffer+Bonhoefferstr.+3+71522+Backnang,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Pflegestift Bürgerheim,Auf dem Hagenbach 31/1,71522.0,Backnang,https://www.google.de/search?q=Pflegestift+B%C3%BCrgerheim+Auf+dem+Hagenbach+31%2F1+71522+Backnang,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Pflegestift Backnang,Gartenstr. 80 a,71522.0,Backnang,https://www.google.de/search?q=Pflegestift+Backnang+Gartenstr.+80+a+71522+Backnang,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
